"","Beer","IBU","ABV","State"
"1","Get Together",50,0.045," MN"
"2","Maggie's Leap",26,0.049," MN"
"3","Wall's End",19,0.048," MN"
"4","Pumpion",38,0.06," MN"
"5","Stronghold",25,0.06," MN"
"6","Parapet ESB",47,0.056," MN"
"7","Citra Ass Down",68,0.08," KY"
"8","London Balling",80,0.125," KY"
"9","35 K",25,0.077," KY"
"10","A Beer",42,0.042," KY"
"11","Rules are Rules",25,0.05," KY"
"12","Flesh Gourd'n",21,0.066," KY"
"13","Sho'nuff",13,0.04," KY"
"14","Bloody Show",17,0.055," KY"
"15","Rico Sauvin",68,0.076," KY"
"16","Coq de la Marche",38,0.051," KY"
"17","Pile of Face",65,0.06," KY"
"18","The Brown Note",20,0.05," KY"
"19","House Lager",18,0.052," MA"
"20","Leisure Time",15,0.048," MA"
"21","Excess IPL",80,0.072," MA"
"22","Hoponius Union",65,0.067," MA"
"23","Calyptra",45,0.049," MA"
"24","Habitus (2014)",100,0.08," CA"
"25","Solis",85,0.075," CA"
"26","Jucundus",24,0.06," CA"
"27","Habitus",100,0.08," CA"
"28","Grazias",30,0.063," CA"
"29","Claritas",28,0.058," CA"
"30","Park",19,0.047," CA"
"31","Westfalia",16,0.056," CA"
"32","KSA",17,0.046," CA"
"33","Villager",42,0.063," CA"
"34","Yeti  Imperial Stout",75,0.095," CO"
"35","Peck's Porter",35,0.065," MI"
"36","Dark Star",54,0.08," MI"
"37","Sparkle",12,0.041," MI"
"38","North 45 Amber Ale",25,0.059," MI"
"39","Horny Monk",20,0.069," MI"
"40","Mind's Eye PA",74,0.067," MI"
"41","Nordskye ",47,0.048," MI"
"42","North Third Stout",30,0.06," MI"
"43","51K IPA",51,0.07," MI"
"44","Hotbox Brown",10,0.055," MI"
"45","Gold",15,0.048," MI"
"46","98 Problems (Cuz A Hop Ain't One)",65,0.065," MI"
"47","Veteran’s Pale Ale (VPA)",40,0.05," MI"
"48","Grapefruit IPA",35,0.05," MI"
"49","Train Hopper",72,0.058," MI"
"50","Dirty Bastard",50,0.085," MI"
"51","Centennial IPA",65,0.072," MI"
"52","All Day IPA",42,0.047," MI"
"53","Hinchtown Hammer Down",27,0.05," IN"
"54","Half Cycle IPA",104,0.06," IN"
"55","Cafe Leche",20,0.058," IN"
"56","Damascene Apricot Sour",12,0.052," IN"
"57","Csar",90,0.12," IN"
"58","Overlord Imperial IPA",115,0.085," IN"
"59","Alloy",36,0.058," IN"
"60","Rivet Irish Red Ale",22,0.051," IN"
"61","3 Gear Robust Porter",50,0.052," IN"
"62","Circuit Bohemian Pilsner",35,0.045," IN"
"63","Saucy Intruder",75,0.072," IN"
"64","Thai.p.a",46,0.07," IN"
"65","Citra Faced",64,0.055," IN"
"66","Pole Barn Stout",31,0.055," IN"
"67","Pale",37,0.054," IN"
"68","Yoshi's Nectar",27,0.053," IN"
"69","The Gadget",90,0.064," IN"
"70","Tribute",58,0.058," IN"
"71","Pale Alement",40,0.055," IN"
"72","Hopkick Dropkick",115,0.099," IN"
"73","Joey Wheat",16,0.068," IN"
"74","3:33 Black IPA",86,0.072," IN"
"75","Pale Alement",40,0.055," IN"
"76","Tip Off",29,0.052," IN"
"77","Cowbell",23,0.054," IN"
"78","Hop Up Offa That Brett (2014)",20,0.058," IN"
"79","PV Muckle (2013)",23,0.083," IN"
"80","Bourbon Barrel Batch 666: Sympathy for the Devil",36,0.099," IN"
"81","Whip Fight",30,0.09," IN"
"82","Port Barrel Wee Mac ",23,0.053," IN"
"83","Fistful Of Hops Red",75,0.064," IN"
"84","Fistful of Hops Orange",75,0.063," IN"
"85","Fistful Of Hops Blue",75,0.064," IN"
"86","Fistful of Hops Green",75,0.064," IN"
"87","Wee Muckle",30,0.09," IN"
"88","Royal Brat",55,0.065," IN"
"89","Grapefruit Jungle (GFJ)",77,0.075," IN"
"90","Osiris Pale Ale",50,0.056," IN"
"91","Bourbon Barrel Aged Timmie",75,0.099," IN"
"92","Stupid Sexy Flanders",23,0.063," IN"
"93","Ring of Dingle",27,0.071," IN"
"94","Bourbon Barrel Wee Mac",23,0.054," IN"
"95","Bourbon Barrel Johan",60,0.099," IN"
"96","The Velvet Fog",24,0.09," IN"
"97","Sun King Oktoberfest",23,0.055," IN"
"98","Indianapolis Indians Lager",24,0.052," IN"
"99","Indians Victory Lager (2012)",24,0.052," IN"
"100","Isis",91,0.091," IN"
"101","Wee Muckle (2011)",30,0.09," IN"
"102","Grapefruit Jungle (GFJ) (2011)",77,0.075," IN"
"103","Sun King Oktoberfest (2011)",23,0.055," IN"
"104","Johan the Barleywine",60,0.099," IN"
"105","Wee Mac Scottish-Style Ale",23,0.054," IN"
"106","Sunlight Cream Ale",20,0.053," IN"
"107","Osiris Pale Ale (2010)",50,0.056," IN"
"108","Blonde Czich",23,0.049," IN"
"109","White Reaper",61,0.07," IN"
"110","General George Patton Pilsner",48,0.054," IN"
"111","Citrafest",45,0.05," IN"
"112","Scarecrow",65,0.069," IN"
"113","Ironman",50,0.09," IN"
"114","Honey Kolsch",15,0.046," IN"
"115","Copperhead Amber",18,0.052," IN"
"116","Deduction",22,0.08," IN"
"117","Gone A-Rye",90,0.085," TX"
"118","Dankosaurus",70,0.068," TX"
"119","Scruffy's Smoked Alt",35,0.051," TX"
"120","Elliott's Phoned Home Pale Ale",36,0.051," TX"
"121","The Lawn Ranger",18,0.05," TX"
"122","Sex Panther",20,0.069," AZ"
"123","Winter Warmer (Vault Series)",25,0.095," AZ"
"124","Count Hopula (Vault Series)",99,0.091," AZ"
"125","SunSpot Golden Ale",15,0.05," AZ"
"126","Epicenter Amber Ale",20,0.055," AZ"
"127","SanTan HefeWeizen",15,0.05," AZ"
"128","Hop Shock IPA",85,0.07," AZ"
"129","Sex Panther (2014)",20,0.069," AZ"
"130","Devil’s Ale",45,0.055," AZ"
"131","Mr. Pineapple",20,0.05," AZ"
"132","American Idiot Ale (2012)",45,0.055," AZ"
"133","Hop Shock IPA (2010)",85,0.07," AZ"
"134","SanTan HefeWeizen (2010)",15,0.05," AZ"
"135","Devil’s Ale (2010)",45,0.055," AZ"
"136","Epicenter Amber Ale (2010)",20,0.055," AZ"
"137","Heavy Lifting",80,0.062," MO"
"138","Surfrider",35,0.052," CA"
"139","Grandma's Pecan",34,0.069," CA"
"140","Double Trunk",101,0.099," CA"
"141","Even Keel",40,0.038," CA"
"142","Ballast Point Pale Ale",23,0.052," CA"
"143","Big Eye India Pale Ale",75,0.07," CA"
"144","Sculpin IPA",70,0.07," CA"
"145","Czech Yo Self",45,0.055," CA"
"146","FMB 101",20,0.048," CA"
"147","Avery Joe’s Premium American Pilsner",42,0.047," CO"
"148","White Rascal",10,0.056," CO"
"149","Avery India Pale Ale",69,0.063," CO"
"150","Ellie’s Brown Ale",17,0.055," CO"
"151","Cow Creek",26,0.054," TX"
"152","Chupahopra",63,0.075," TX"
"153","Twisted X",19,0.051," TX"
"154","Vanilla Porter",11,0.07," MI"
"155","Galaxy IPA",60,0.075," IL"
"156","Gose",8,0.046," VT"
"157","Vermont Pilsner",20,0.048," VT"
"158","Jah Mon",100,0.05," PA"
"159","Fist City",40,0.055," IL"
"160","Rosa Hibiscus Ale",15,0.058," IL"
"161","Fistmas Ale",31,0.061," IL"
"162","Oktoberfest Revolution",25,0.057," IL"
"163","Eugene Porter",28,0.068," IL"
"164","Anti-Hero IPA",70,0.065," IL"
"165","Bottom Up Belgian Wit",14,0.05," IL"
"166","Wooden Rooster",34,0.085," KS"
"167","Ginger Peach Saison",20,0.048," KS"
"168","Zombie Monkie",35,0.062," KS"
"169","Wild Plum Farmhouse Ale",20,0.056," KS"
"170","Vanilla Bean Buffalo Sweat",20,0.05," KS"
"171","Ethos IPA",110,0.068," KS"
"172","Tallgrass Pub Ale",12,0.044," KS"
"173","Oasis",93,0.072," KS"
"174","Buffalo Sweat",20,0.05," KS"
"175","Halcyon Unfiltered Wheat",20,0.05," KS"
"176","Halcyon Unfiltered Wheat",20,0.05," KS"
"177","Köld Lager (2010)",16,0.05," KS"
"178","Oasis (2010)",93,0.072," KS"
"179","Tallgrass Ale",22,0.044," KS"
"180","Buffalo Sweat (2010)",20,0.05," KS"
"181","Tallgrass IPA",60,0.063," KS"
"182","4Beans",52,0.1," NY"
